Tabel 1
Substance;Sector;EDGAR Country Code;Country;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Deforestation;AGO;Angola;Africa;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;71,841366255479;133,48450495817;49,753717482263;32,285876326008;50,431340605919;70,419780878999;58,390717929075;66,229482353464;59,111931082188;85,999360888784;83,042182739038;116,40709866772;112,10603545879;114,06867161321;104,99067686137;94,451351600518;112,01431033238;130,81133975288;116,41937025046;89,622484099909;124,33753289929;140,72944620578;118,22982106832;118,22982106832;118,22982106832
CO2;Fires;AGO;Angola;Africa;17,691473352492;14,080829808959;10,986022377728;26,509118365403;18,395052107321;18,395052107321;18,613658807405;7,4248683846781;13,46454172729;18,658445443433;26,451972229859;22,478616932491;13,43338465978;20,06332619034;22,92342044162;17,60091180426;9,24826119349;15,39786101985;9,62727400902;10,10309449395;10,80660517582;11,81215352659;10,59510859372;11,82104421471;11,943316155;10,35710278512;15,79231835399;13,25140078223;10,9467258903;12,06515870921;18,13727003323;11,08030436045;7,36138200912;6,14773288541;12,91089884455
GWP_100_AR5_CH4;Fires;AGO;Angola;Africa;54,346410212298;41,898435029556;52,476867188218;51,402304662175;47,595615875844;47,595615875844;51,491348671704;30,024047585269;46,71712082631;41,046840141769;37,3346298882;51,7175276919;32,624483226643;36,830770832291;39,340615777892;40,053164136381;36,429277472002;37,416373313424;36,933678208058;39,61142941412;42,220478881271;39,463831740871;40,775025629082;37,939786150936;37,61069553014;39,79188935904;38,380122439558;43,36751509757;31,87940991969;40,676972853009;35,401239209351;35,646514711278;31,840995266808;29,948480530404;33,721268128975
GWP_100_AR5_N2O;Fires;AGO;Angola;Africa;23,106435748267;18,406098958104;22,231778519889;22,288153032244;21,220955926002;21,220955926002;22,755456633725;13,040065071653;20,484339513906;18,944034845129;17,990709609888;23,462541670077;16,975128847108;19,587101709529;20,293339114478;20,207831716059;18,124886566592;19,18938806364;18,435506196405;19,089706094514;20,236749594887;19,746409384866;19,541260298563;18,941219867684;18,337946896522;19,231917168601;18,918319316302;20,44968070092;16,006639792079;19,678982070882;17,618740399992;17,691811512663;16,209431312654;16,368431031223;17,924330147738
CO2;Forest Land;AGO;Angola;Africa;-396,82755350603;-396,00556021188;-395,32458141974;-393,9025515738;-393,3097353976;-393,47677142986;-393,29670669773;-392,52638435837;-391,23606455456;-388,62796091806;-390,77519295012;-392,61436055007;-393,10559017297;-393,82092639313;-395,56720029095;-395,92084776487;-395,78822594587;-395,40915098415;-395,75363483368;-396,05722310913;-394,93019536803;-394,43042500415;-393,65860177329;-392,72554783427;-391,8580061323;-390,51183170637;-392,07448175687;-390,9716908718;-388,41420499743;-385,02204812945;-386,24432861719;-385,36495237313;-383,90908653993;-383,43901685109;-382,96894716225
CO2;Organic Soil;AGO;Angola;Africa;0,34649736053641;0,34649736053641;0,34649736053641;0,34649736053641;0,34649736053641;0,34497405238158;0,34407925797169;0,34389769989169;0,34319662514121;0,3423391379911;0,34544960751005;0,34353895870091;0,34299707230091;0,34393510081505;0,3430877429537;0,33925438788332;0,33649812889909;0,33649812889909;0,33513313846413;0,33335056911099;0,33344836556604;0,3322895234912;0,3322895234912;0,33315655037937;0,33312613229858;0,33227880010389;0,33058413058118;0,33162728521464;0,33247478871599;0,31567846362601;0,31612370358428;0,31676858371344;0,31703358177837;0,31703358177837;0,31394534039085
CO2;Deforestation;BDI;Burundi;Africa;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,52715975535456;0,43686527276584;0,88311841416149;0,26149557913636;1,9210677387767;0,68625991332042;0,53293447982959;0,16767396407188;0,38950118383371;0,5796548623719;0,33377002537976;0,10912312452196;0,14780764943655;0,64228943893571;0,27096565658877;0,23391745837067;0,14723106442036;0,19981620297523;0,10970627543489;0,12227730984719;0,074274575460245;0,14396323864634;0,11350504131792;0,11350504131792;0,11350504131792
CO2;Fires;BDI;Burundi;Africa;1,6987924229422;1,6994392443503;1,7789659145936;1,9557349442091;1,7556312361926;1,7556312361926;2,3170545862326;0,7612306727462;0,8939850588271;1,6588206485153;1,9737912645047;1,2465810221297;0,73684688942;0,78924089918;0,57307202493;0,61297556335;0,632323145;0,16952395077;0,46048079026;0,44884610975;0,58897276473;0,210774382;0,14803486825;0,7540754325;0,51135884342;0,20785440717;0,51039570968;0,188587603;;0,24600823618;0,32383766225;0,15580256755;0,2585428716;0,32426354492;0,37261198993
GWP_100_AR5_CH4;Fires;BDI;Burundi;Africa;0,73241725099372;0,69928806318207;0,76077142488406;0,8472566748478;0,71803216173537;0,71803216173537;0,95686058931461;0,31540365196657;0,37590602550925;0,67701970654434;0,74463206836806;0,51560080128605;0,31730994277696;0,33499091839752;0,24912791384908;0,25918665498852;0,26583577970208;0,07849980415508;0,192484843908;0,18859016150856;0,18235465402112;0,09440733277444;0,06915505171484;0,28245950049856;0,21106911634536;0,08808292161592;0,21136208226924;0,08547163159192;0,00007492617888;0,1096428310278;0,14015835829184;0,07348965067556;0,11380825976408;0,13854242219888;0,16176025709844
GWP_100_AR5_N2O;Fires;BDI;Burundi;Africa;0,045285947763988;0,023107119694962;0,05482366823859;0,12967943731302;0,039720681175373;0,039720681175373;0,050358271102804;0,011063369343334;0,026498099549829;0,025130900793168;0,05344804223321;0,026772967625789;0,02389130457374;0,02214225837576;0,01975432474096;0,012674309247225;0,01014541573732;0,00881827653118;0,01257782168537;0,00990840056306;0,02085374958914;0,008735179516315;0,00930937782619;0,015770808191895;0,006970228432265;0,010865170083625;0,01089142233221;0,008640569185045;0,00006474599144;0,010411646739965;0,00948742651803;0,008820432465975;0,009760569029135;0,008997690423785;0,0135478852333
