Tabel 1
Substance;Sector;Macro-region;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
CO2;Deforestation;Africa;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1333,0114825679;1878,7908047015;1221,7505760144;898,49306698766;810,4782895946;1063,7929065844;1111,516479366;1039,8661470536;1010,8286097456;1088,4647593963;1176,517624431;1280,6331325628;1360,3890240576;1991,0695745811;1814,472994241;1579,7247153523;1912,6178165568;1547,254574795;1288,7092133904;1148,344033458;1256,9166426606;1184,265699166;1196,5087917616;1196,5087917616;1196,5087917616
CO2;Fires;Africa;606,66699176715;401,65555039567;448,85770437158;635,50713489201;553,63474794254;553,63474794254;534,91237898821;187,71308206818;522,84319030762;477,59028669921;678,477490546;655,81419640717;674,07132111044;520,26056741555;577,88169838689;617,0737279574;542,86737306356;509,28115771086;591,55075381808;619,77374600879;605,85233659853;790,50618192179;667,29669243031;555,28114966868;393,43347334419;464,71939194004;499,99711010873;549,25840461072;570,46655204191;545,02075643026;454,71419821858;513,50126653834;493,06073594343;506,47650707516;372,48210210639
GWP_100_AR5_CH4;Fires;Africa;632,29244564575;508,39011441211;578,6746496479;689,19741361603;562,24040731767;562,24040731767;596,00445181133;287,66354941105;569,06196513984;501,22729125609;609,42233241629;597,108887588;471,0989871279;490,14616431174;493,53387964171;550,77618963972;481,10290683576;472,23887176194;505,93220661213;501,17973427097;503,78007134002;531,33513956537;512,03118081495;487,47172181073;419,51000903321;475,26569301513;508,90243964855;487,60945656641;475,01405163295;483,1938951232;415,67317626316;400,67716424763;424,13764880252;337,06285467788;355,92314220307
GWP_100_AR5_N2O;Fires;Africa;183,00216897125;161,24539023885;180,13511725215;196,16188262517;164,6249425192;164,6249425192;182,77341992624;92,703317988474;172,17837464117;161,14322264456;183,67356656157;178,10300359552;130,50628328698;152,12950892881;143,70589369159;162,87632815031;142,99827928425;150,3553380449;154,49017596087;138,42737756807;154,30534759488;157,18511520371;148,93715960596;142,31305286736;131,84788719711;141,15393311008;149,30756413577;138,57417212799;125,1338532979;124,94901636478;131,2521177685;133,42231726893;130,42566839999;109,65667124894;117,06297526427
CO2;Forest Land;Africa;-2417,664291707;-2385,4798108241;-2345,6985685975;-2304,985858009;-2240,5852984993;-2184,3122880809;-2157,8430737048;-2122,963596272;-2101,5359994247;-2110,4463928574;-2032,3965525021;-1962,6498217609;-1903,2247418433;-1820,0709440201;-1799,2497684405;-1784,7275324298;-1757,5300626104;-1723,3746455223;-1765,4410264151;-1726,5191598325;-1652,0499465381;-1556,1573526375;-1416,2653725412;-1366,4885826756;-1295,5987708709;-1181,1522264641;-1104,2929438066;-1038,2103792558;-1015,0952974141;-1000,2231803031;-992,91591822882;-947,71281234569;-935,69230032572;-911,43882049536;-887,18534066501
CO2;Organic Soil;Africa;58,749265022859;58,749265022859;58,749265022859;58,748877592806;58,745359689728;59,450693630287;59,427677507085;59,489760077613;59,716247410308;60,131418809285;60,202573794612;60,140818498653;60,222365753352;60,184569190694;60,217066284329;60,283391923092;60,290598666675;60,250199649496;60,311843662773;60,373428381979;60,441975617399;60,561158810377;60,759601481558;60,740989601158;60,661773715318;60,65929086092;60,588844747428;60,525525105103;60,444819882899;60,296594240057;60,270906759234;60,254217250917;60,269818950968;60,269818950968;60,227312453727
CO2;Other Land;Africa;-138,82486419022;-138,76132069542;-138,45536004739;-138,36258730431;-138,58384045776;-138,50303020948;-138,61608008365;-138,28262686196;-137,34414407502;-136,57712432135;-136,08472291385;-136,69781104614;-134,06335204006;-135,03490326834;-134,45540212437;-131,42485294722;-132,45698420999;-131,61228494437;-130,5766912817;-127,48794273171;-126,0349871409;-126,26090812367;-125,92978171129;-127,72855648054;-126,14172091825;-96,372953624908;-95,710206418676;-94,523604963526;-95,621127236496;-99,515320603256;-98,799315912629;-100,08812318694;-99,906731379462;-99,906731379462;-99,906731379462
CO2;Deforestation;Australia, Japan, and New Zealand;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;14,760327365378;13,523737176282;17,342806851594;13,414438068258;11,094062183312;10,268501344413;11,601449157781;12,785495865607;11,108846399962;14,321400614031;7,823725681094;19,885665074445;10,31733824186;16,097813791263;13,023634660975;10,059434526838;13,496583921297;14,514999065322;15,793802512443;12,779939338015;15,06689874076;10,043656133643;12,630164737473;12,630164737473;12,630164737473
CO2;Fires;Australia, Japan, and New Zealand;332,67590411132;367,65191415195;426,24900980562;769,51569412345;405,88979128591;405,88979128591;256,51576265473;149,64206297788;396,09576261927;477,71113794796;708,85509450043;813,66639484064;1119,8007965015;284,6455428697;579,86101575273;140,21626225938;680,75514952079;588,75351625322;229,75862544198;269,38785845253;129,06256295841;1201,9439017679;1148,2684576787;257,50662991289;472,58502887683;457,88189636695;171,39480832152;625,34856555375;571,91700738119;508,51907331904;220,10882798836;196,69151552032;254,31206175732;1083,54252242;294,91191669149
GWP_100_AR5_CH4;Fires;Australia, Japan, and New Zealand;27,061845569328;30,127579866219;35,036549478033;43,706587829506;28,572955581193;28,572955581193;25,325771332417;12,354071108512;29,939102574264;30,827482051745;40,11260711459;49,827177610819;58,463902408699;24,426152827621;37,275915761962;14,318622636553;41,463187145263;34,77642510305;17,472519457369;24,574574490621;9,9359250536059;60,733118300919;61,951219898954;19,30377688844;30,460735614182;27,491549941757;14,698903667459;32,583795895057;34,659643525296;41,619926301461;19,838720246571;14,666074724786;16,555309023141;53,309850260523;20,015813139918
